date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:06	75006/75006	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%225baec170-124fe%22	http://cdn2.editmysite.com/js/wsnbn/snowday262.js	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/js/wsnbn/snowday262.js	(from http://aragonrobotics.weebly.com/)
16:35:07	3316/3316	---M--	200	added ('OK')	image/png	etag:%22b990be86efb765402df96de07ff676ed%22	http://cdn2.editmysite.com/images/util/videojs/white-bar.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/white-bar.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:07	934/934	---M--	200	added ('OK')	image/png	etag:%22b7bb9f86cd372171ddb601013f7b7ecc%22	http://cdn2.editmysite.com/images/util/videojs/@2x/white-bar.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/@2x/white-bar.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:08	1062/1062	---M--	200	added ('OK')	image/png	etag:%22e3a4510b856d2e6af899829f916aed5c%22	http://cdn2.editmysite.com/images/util/videojs/gradient.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/gradient.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:08	1066/1066	---M--	200	added ('OK')	image/png	etag:%225f79d3a4fcbd47a8915f4b76d8d391f2%22	http://cdn2.editmysite.com/images/util/videojs/@2x/gradient.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/@2x/gradient.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:10	10847/10847	---M--	200	added ('OK')	image/png	etag:%225bb55d31-2a5f%22	http://cdn2.editmysite.com/sprites/util/videojs-sacae758aa2.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/sprites/util/videojs-sacae758aa2.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:15	25072/25072	---M--	200	added ('OK')	image/png	etag:%225bac18f5-61f0%22	http://cdn2.editmysite.com/sprites/util/videojs/@2x-s2aff7e7d9a.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/sprites/util/videojs/@2x-s2aff7e7d9a.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:15	1147/1147	---M--	200	added ('OK')	image/png	etag:%22238628d5193eed29afba56881c2062b6%22	http://cdn2.editmysite.com/images/util/videojs/volume-filled.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/volume-filled.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:15	1333/1333	---M--	200	added ('OK')	image/png	etag:%2294ad4962ec7aae96fd39acf13b05c5ff%22	http://cdn2.editmysite.com/images/util/videojs/@2x/volume-filled.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/@2x/volume-filled.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:16	1179/1179	---M--	200	added ('OK')	image/png	etag:%225baf4223095c9cbd9975106f31b0885f%22	http://cdn2.editmysite.com/images/util/videojs/volume-mute.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/volume-mute.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:16	1303/1303	---M--	200	added ('OK')	image/png	etag:%2202ddb113f1cb06b58d6b9bbfcc0f9da1%22	http://cdn2.editmysite.com/images/util/videojs/@2x/volume-mute.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/@2x/volume-mute.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:17	3318/3318	---M--	200	added ('OK')	image/png	etag:%22cada038924133711192a57d0631ad1d6%22	http://cdn2.editmysite.com/images/util/videojs/blue-bar.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/blue-bar.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:17	942/942	---M--	200	added ('OK')	image/png	etag:%220521e97e2016ab9bba1894ae3f8ac129%22	http://cdn2.editmysite.com/images/util/videojs/@2x/blue-bar.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/@2x/blue-bar.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:18	1146/1146	---M--	200	added ('OK')	image/png	etag:%22eea250c94c3ef64a203ecca50bd37834%22	http://cdn2.editmysite.com/images/util/videojs/maximize-icon.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/maximize-icon.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:18	87318/87318	---M--	200	added ('OK')	text	etag:%221c8a26f413525e51e0716d20f48b9146%22	http://aragonrobotics.weebly.com/files/theme/plugins.js?1475259792	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/aragonrobotics.weebly.com/files/theme/pluginsec8b.js	(from http://aragonrobotics.weebly.com/)
16:35:18	1312/1312	---M--	200	added ('OK')	image/png	etag:%229bd271b63d9159b54a44a04ffc35004c%22	http://cdn2.editmysite.com/images/util/videojs/@2x/maximize-icon.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/@2x/maximize-icon.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:19	1188/1188	---M--	200	added ('OK')	image/png	etag:%22a39e27a424bc264a078f1cae0684324f%22	http://cdn2.editmysite.com/images/util/videojs/minimize-icon.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/minimize-icon.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:19	1379/1379	---M--	200	added ('OK')	image/png	etag:%224a334a802fc406f71a130d1a5e9f9fc5%22	http://cdn2.editmysite.com/images/util/videojs/@2x/minimize-icon.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/@2x/minimize-icon.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:19	3434/3434	---M--	200	added ('OK')	image/png	etag:%2222d7478d7d87858ddc07bec0d2d15af2%22	http://cdn2.editmysite.com/images/util/videojs/play-icon.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/play-icon.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:20	6448/6448	---M--	200	added ('OK')	image/png	etag:%22125b63f21f0b6dbc58089378e2bd996f%22	http://cdn2.editmysite.com/images/util/videojs/@2x/play-icon.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/@2x/play-icon.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:21	11573/11573	---M--	200	added ('OK')	image/png	etag:%22aeab26ec41cbf19c0a51bae5ebaeff8c%22	http://cdn2.editmysite.com/images/util/videojs/sad-face.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/sad-face.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:22	3386/3386	---M--	200	added ('OK')	image/png	etag:%22cb77cf241f8c1438d3de778a3ceec41e%22	http://cdn2.editmysite.com/images/util/videojs/loading-icon.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/loading-icon.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:23	5668/5668	---M--	200	added ('OK')	image/png	etag:%2220914a2c130af40eec4c7d00e0258b68%22	http://cdn2.editmysite.com/images/util/videojs/@2x/loading-icon.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/@2x/loading-icon.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:24	141912/141912	---M--	200	added ('OK')	image/png	etag:%22fe4ff4cbf959c2d252311a5728da7533%22	http://aragonrobotics.weebly.com/uploads/5/7/3/6/57360263/sponsors-v2.png?960	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/aragonrobotics.weebly.com/uploads/5/7/3/6/57360263/sponsors-v2437d.png	(from http://aragonrobotics.weebly.com/)
16:35:24	23396/23396	---M--	200	added ('OK')	image/png	etag:%227e44a970dea9d5d896f09eceea67d755%22	http://cdn2.editmysite.com/images/util/videojs/@2x/sad-face.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/util/videojs/@2x/sad-face.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:24	4034/4034	---M--	200	added ('OK')	image/png	etag:%2261dafe0f6d2ca774a65b1550f051eed1%22	http://cdn2.editmysite.com/images/common/buttons/small_grey.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/common/buttons/small_grey.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:24	3620/3620	---M--	200	added ('OK')	image/png	etag:%2245c052c77ba22937d30b814da5ce0573%22	http://cdn2.editmysite.com/images/common/buttons/small_blue.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/common/buttons/small_blue.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:25	4106/4106	---M--	200	added ('OK')	image/png	etag:%22b86e2dec881d77912f2b51d270cd57fe%22	http://cdn2.editmysite.com/images/old/button/large_grey.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/old/button/large_grey.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:25	3902/3902	---M--	200	added ('OK')	image/png	etag:%22a1f5ce729a68ba04a7d10fde0ffe1c93%22	http://cdn2.editmysite.com/images/common/buttons/large_blue.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/common/buttons/large_blue.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:25	1363/1363	---M--	200	added ('OK')	image/png	etag:%2257e00b9c62394b2e16fad248b9827803%22	http://cdn2.editmysite.com/images/common/search-light.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/common/search-light.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:26	605/605	---M--	200	added ('OK')	image/png	etag:%22cc8c2ae5040116b5c226835c9dabf900%22	http://cdn2.editmysite.com/images/common/blog/blog-comment-button.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/common/blog/blog-comment-button.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:26	395/395	---M--	200	added ('OK')	image/png	etag:%22c1fba4a7097392ef0d29d699eaa4bce4%22	http://cdn2.editmysite.com/images/common/blog/blog-comment-header.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/common/blog/blog-comment-header.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
16:35:26	249/249	---M--	200	added ('OK')	image/png	etag:%228eccf7fccea52d8473809d85ca5242fe%22	http://cdn2.editmysite.com/images/common/blog/blog-comment-pointer.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/common/blog/blog-comment-pointer.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1475293089)
